No,ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,image,gender
249,HRMN-0249,AURA Tears,Kitschy,169000,30,XDP,"Floral, Sweet Amber, Woody","Patchouli, Warm Spicy, Coconut","Musk, Creamy Powder, Velvet",Versatile,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/2/24/e2843fe6-5f7d-4377-9492-9598ecad1b5f.jpg.webp?ect=4g,Unisex
250,HRMN-0250,Rania de Bloem,Kitschy,349000,50,EDP,"Rose, Wild Berry, Scent Garden","Woody, Forest Essence, Blossom Bouquet","Amber, Musky, Earthy Undertones",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/1/4dc1fcad-0731-4f17-83a8-a97dc3d64d86.png.webp?ect=4g,Unisex
251,HRMN-0251,Fairytale,Kitschy,349000,50,XDP,"Pistachio, Hazelnut, Cassis","Peony, Jasmine, Muguet","Vanilla, Maltol",Versatile,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/4/24/affab153-12d8-4f81-967f-98565cb8ca4e.png.webp?ect=4g,Unisex
252,HRMN-0252,Day Dream,Kitschy,229000,50,EDP,"Oud, Pink Pepper, Cardamon, Lavender.","Jasmine, Patchouli, Cedar, Vanilla, Muguet.","Amber, Sandalwood, Tonka Bean, Musk, And Coconut.",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/5/29/9e3fa5b5-e1d1-4e88-99a2-57dd15441c28.jpg.webp?ect=4g,Unisex
253,HRMN-0253,Forever Vacation,Kitschy,249000,50,EDP,Marshmallow And Pink Pepper,"Jasmine, Iris, And Vanilla","Musk, Wood, Orange, Patchouli",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/9/8/24f70c56-b878-4a1f-99a5-df419c7837f4.jpg.webp?ect=4gg,Unisex
254,HRMN-0254,Date Night,Kitschy,249000,50,EDP,"Calabrian Bergamot, California Orange, Mint","Magnolia, Grasse Rose, Violet","Musk, Cedar, Bulgarian Rose",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/9/24/0a21d998-49cc-4080-b4b9-04761a90361e.jpg.webp?ect=4g,Unisex
255,HRMN-0255,Golden Hour,Kitschy,249000,50,EDP,Honey And Jasmine Sambac,Marigold,Benzoin And Ylang Ylang,Versatile,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/9/24/c9b41e37-974e-45a8-94cb-7baa78a93e09.jpg.webp?ect=4gg,Unisex
256,HRMN-0256,Profumo,Bonjour,175000,100,EDP,"Bergamot, Sea Notes","Rosemary, Sage, Geranium","Incense, Patchouli",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/3/18/4fe67d40-f453-41ee-962b-167275b87d66.png,Male
257,HRMN-0257,Bliss Roses,Bonjour,250000,100,EDP,"Rose, Bulgarian Rose",Agarwood Saffron,"Ambergris, Black Pepper",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/2/1/90a7a7e5-9dab-4309-b629-eacf92461b43.jpg,Unisex
258,HRMN-0258,Chant d'amour,Bonjour,125000,50,EDP,"Blueberry Bergamot, Ginger","Rose, Jasmine","Musk, Cypress, Patchouli",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/2/1/7cd6418e-7d29-477e-ac92-e4430000b09d.jpg,Unisex
259,HRMN-0259,Green Tea Pour Femme,Bonjour,80000,30,EDP,"Mint, Rhubard, Lemon, Bergamot","White Amber, Jasmine, Musk, Fennel","Carnation , Jasmine, Oakmoss, Cloves, Caraway",Versatile,https://images.tokopedia.net/img/cache/900/product-1/2019/11/13/79553013/79553013_c28e2cf8-d389-4319-864a-bf7a792672ce_1080_1080,Unisex
260,HRMN-0260,Blue Icon,Bonjour,195000,100,XDP,"Fig Leaf, Grapefruits, Bergamot, Water Notes","Black Pepper, Patchouli, Violet","Saffron, Tonka Bean, Incense, Musk",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/3/18/32bdd250-93e8-4b2f-a512-1aab15903e86.jpg,Male
261,HRMN-0261,Tres Chic,Bonjour,125000,50,EDP,"Damask Rose, Saffron, Jasmine","Rose Water, Amberwood, Ambergris","Agarwood, White Musk, Cedar",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/2/1/73d4ea6e-251f-4bac-9fd1-9bb5a821ca46.jpg,Female
262,HRMN-0262,My Wish,Bonjour,150000,100,EDP,"Kiwi, Pink Pepper, Rhuburb","Watermelon, Jasmine, Cyclamen","Lemon, Sandalwood, Musk",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/2/1/2a5850c5-af7f-4c8d-b853-d751cca49466.jpg,Female
263,HRMN-0263,Forever Musc,Bonjour,195000,100,XDP,"Ylang-Ylang, Basil, Galbanum, Musk,Lily","Rose, Jasmine - Musk, Lily","Iris, Amber, Vanilla, Jasmine, Peach, Vetiver",Night,https://down-id.img.susercontent.com/file/5ba014adea7723cca0912443d2a37256.webp,Female
264,HRMN-0264,Lady Boss,Bonjour,81250,50,EDP,"Strawberry, Raspberry, Blackberry, Sour Cherry, Black Currant, Mandarin Orange, Lemon","Violet, Jasmine","Musk, Vanilla, Cashmeran, Woody Notes, Oakmoss, Amber, Patchouli",Versatile,https://down-id.img.susercontent.com/file/id-11134207-7r98s-lo0uc3b3p4lj72.webp,Female
265,HRMN-0265,Forever Young,Bonjour,60000,30,EDP,"Bergamot, Mandarin Orange, Peach","Violet , Red Apple , Apricot, Woody, Musk","Blackcurrant, Tuberose, Gardenia, Nectarine",Day,https://down-id.img.susercontent.com/file/ac9695ceed1f7edd223cbbf5b539f1ca.webp,Unisex
266,HRMN-0266,Musk Ambre,Bonjour,64000,30,EDP,"Ylang -Ylang, Basil, Galbanum","Musk, Lily, Rose, Jasmine","Iris, Amber, Vanilla, Peach, Vetiver",Day,https://down-id.img.susercontent.com/file/3621a038376e10f354dc24be922d7d41.webp,Female
267,HRMN-0267,Roses n Musk,Bonjour,135000,100,EDP,-,"Damask Rose, Rose Water","Agarwood, White Musk, Amber",Night,https://down-id.img.susercontent.com/file/sg-11134201-22120-agd7chtbelkv1d.webp,Female
268,HRMN-0268,Quantum,Bonjour,180000,100,XDP,"Melon, Bergamot, Mint, Black","Sea Water, Green Apple, Cappucino, Cardamon","Amber, Woodsy Notes",Versatile,https://images.tokopedia.net/img/cache/900/hDjmkQ/2025/4/23/1b484aac-7226-4511-b119-3194d52c958a.jpg,Male
269,HRMN-0269,Only You,Bonjour,175500,100,XDP,"Bergamot, Mandarin Orange, Peach, Violet, Red Apple, Apricot","Blackcurannt, Tuberose, Gardenia, Nectarine, Marigold",Woodsy Notes,Day,https://down-id.img.susercontent.com/file/id-11134207-7r98t-lvslbnrf5qgp8f.webp,Female
270,HRMN-0270,Beautiful,Bonjour,140000,100,EDP,"Pear,Mandarin,Pink Papper Coffe, Neroli, Prune","Rose, Orange Blossom, Jamine Freesia,Caramel, Heliotrope","Vanilla, Patchouli, Sandalwood,Wood, Cedar, Amber, Musk",Versatile,https://down-id.img.susercontent.com/file/5f66fca248acd4c1480be3cd910f355f.webp,Female
271,HRMN-0271,Magnolia Bloom,Bonjour,60000,30,EDP,"Magnolia, Fruity, Citruses. Orange Blossom","Jasmine, Rose, Lily Of The Valley","Vanilla, Vetiver, Sandalwood",Versatile,https://down-id.img.susercontent.com/file/cbb29fdca19dbf8f2727086a66d5e30f.webp,Female
272,HRMN-0272,Black Hole,Bonjour,195000,100,XDP,"Pear, Pink Pepper, Orange Blossom","Coffee, Jasmine, Bitter Almond, Licorice","Vanilla, Patchouli, Cashmere Wood, Cedar",Night,https://down-id.img.susercontent.com/file/id-11134207-7r98w-lo3iw5ycbr7ra9.webp,Female
273,HRMN-0273,Love Scent,Bonjour,81250,50,EDP,"Violet, Tuscan Iris, Green Notes","Rose, Tuscan Iris, Chinese Jasmine","Peach, Acácia, White Musk",Versatile,https://down-id.img.susercontent.com/file/id-11134207-7r98r-lo0uc3b3goox71.webp,Female
274,HRMN-0274,Lagoon,Bonjour,135000,100,EDP,"Sicilian Lemon, Bellflower, Cedar, Apple","White Rose, Bamboo, Jasmine","Cedar, Musk, Amber",Versatile,https://down-id.img.susercontent.com/file/4b380f75d626e931c91834bd31ca62e2.webp,Female
275,HRMN-0275,Cotton Sparkle,Bonjour,64000,30,EDP,"Cotton Candy, Nectarine, Blackcurrant, Clementine","Wild Orchid, Orange Blossom","Woodsy, Musk,Ambre",Versatile,https://down-id.img.susercontent.com/file/a14040b9f4b735fad24cef6f86ba2640.webp,Female
276,HRMN-0276,Beauty,Bonjour,175000,100,EDP,"Pear, Mandarin, Pink Pepper, Coffe, Neroli","Rose, Orange Blossom, Jasmine, Caramel","Vanilla, Patchouli, Sandalwood, Musk, Amber",Night,https://down-id.img.susercontent.com/file/6699f0e77b0b185ef371bc9c69148e2d.webp,Female
277,HRMN-0277,Vanilla Silk,Bonjour,64000,30,EDP,"Vanilla, Floral, Coconut","Rice, Vanilla, Coconut","Heliotrope, Musk, Sandalwood",Versatile,https://down-id.img.susercontent.com/file/a1a062b00d2db870c9ebadcfab2cd302.webp,Female
278,HRMN-0278,Blue Circle,Bonjour,148750,100,EDT,"Petitgrain, Neroli, Lavender, Rosemary","Galbanum, Geranium, Jasmine","Vetiver, Cedar, Oakmoss, Sandalwood, Amber",Day,https://down-id.img.susercontent.com/file/260de848318f595f01bb63a34b75e1d2.webp,Male
279,HRMN-0279,BLACK STONE,Bonjour,81250,50,EDP,"Champagne Citruses, Papper","Geranium, Violet Leaves","Sandalwood, Ambrocenide",Night,https://down-id.img.susercontent.com/file/id-11134207-7r992-lo0uc3b3b2x398.webp,Male
280,HRMN-0280,Explorer,Bonjour,187500,100,XDP,"Bergamot, Pink Pepper, Clary Sage","Haitian Vetiver, Leather","Ambroxan, Akigalawood, Indonesian Patchouli Leaf, Cacao Pod",Versatile,https://down-id.img.susercontent.com/file/id-11134207-7r98t-lo3iw5yc3blo5b.webp,Male
281,HRMN-0281,Twilight Ginger,Bonjour,81250,50,EDP,Peony,"Ginger, Candied Ginger",Cedar,Night,https://down-id.img.susercontent.com/file/id-11134207-7r98u-lo0wy6t66pue60.webp,Female
282,HRMN-0282,Ethereal Silver Mirage,Mine. Perfumery,295000,30,XDP,"Petitgrain, Grapefruit, Bergamot","Suede, Pine, Hedione, Silver Needle Tea","Musk, Sandalwood, Guaiacwood",Day,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2025/2/21/999b910b-d13d-4faa-9a7a-aff3b5861197.png.webp?ect=4g,Unisex
283,HRMN-0283,DIRTY MONEY,Mine. Perfumery,350100,50,EDP,"Black Pepper, Orange","Sandalwood, Poppy, Ambroxan, Neroli","Vanilla, Bank Notes, White Musk, Patchouli",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/8/34bbffdd-e55c-44df-8357-932a2ef3577c.png.webp?ect=4g,Unisex
284,HRMN-0284,TRUST FUND BABY,Mine. Perfumery,350100,50,EDP,"Black Pepper, Orange","Sandalwood, Poppy, Ambroxan, Neroli","Vanilla, Bank Notes, White Musk, Patchouli",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/8/e4205fe3-c62d-4dd1-bb44-223dda207445.png.webp?ect=4g,Unisex
285,HRMN-0285,DADDY’S MONEY,Mine. Perfumery,350100,50,EDP,"Rosemary, Violet Leaf, Bergamot","Myrhh, Labdanum, Olibanum, Vanilla","Wallet, Amber, Oud, Sandalwood, Cedar",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/8/a4eccae4-a2ac-4ffe-ae13-2195c5410340.png.webp?ect=4g,Unisex
286,HRMN-0286,OLD MONEY,Mine. Perfumery,350100,50,EDP,"Rosemary, Violet Leaf, Bergamot","Myrhh, Labdanum, Olibanum, Vanilla","Wallet, Amber, Oud, Sandalwood, Cedar",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/8/9be5840b-03a5-477e-999b-75562d6b4bc0.png.webp?ect=4g,Unisex
287,HRMN-0287,24 Carat,Mine. Perfumery,345400,50,XDP,"Floral Nectar, Mimosa, Pink Pepper","Gardenia, Gold-Leaf, Iris, Violet, Tuberose","Suede, Vanilla Milk, Amber, Leather",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/14a3b340-6884-4962-887e-ff021c0daf68.png.webp?ect=4g,Unisex
288,HRMN-0288,Toxique Vanille,Mine. Perfumery,345400,50,XDP,White Musk Plum,White Woods Labdanum Resinous Cigar Whiskey Congac,Amber Vanilla Ambroxan Oud Guaiacwood,Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/15/0b4e52b8-21c3-4a87-8d5b-f2c29022cbc5.png.webp?ect=4g,Unisex
289,HRMN-0289,Vanilla Caviar,Mine. Perfumery,328500,50,XDP,Lavender Magnolia Grapefruit,Orris Root Caviar Ginger Jasmine Peony,Vanilla Absolute Tonka Bean Ambroxan Musk Sandalwood,Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/a16ef2eb-99b8-4c70-a0c0-c2bf3f4792c9.jpg.webp?ect=4g,Unisex
290,HRMN-0290,Ethereal Thermal ,Mine. Perfumery,320800,50,EDP,Bergamot Cassis Rose,Suede Violet Sandalwood, Vetiver Vanilla White Musk,Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/10/18/526c0553-855b-4240-949a-081431ecb500.png.webp?ect=4g,Unisex
291,HRMN-0291,2023,Mine. Perfumery,338400,50,EDP,"Almond, Cherry, Pistachio","Blossoms, Cyclamen, Sandalwood","Cherry, Salted Caramel, Vanilla",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/5cd728d0-0fdc-405d-b9ec-ddb19059432f.png.webp?ect=4g,Unisex
292,HRMN-0292,Perky Pomegranate,Mine. Perfumery,205600,30,EDP,"Ambroxan, Toffeed Sugar, Guaiacwood","Muguet, Rose, Sandalwood","Pomegranate. Rhubarb, Neroli",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/950421aa-da4e-42cf-8c47-bcf06f9a6c3e.png.webp?ect=4g,Unisex
293,HRMN-0293,Pineapple Pleasure,Mine. Perfumery,205600,30,EDP,"Pineapple, Passionfruit, Strawberry","Peony, Red Berries, Lily Of The Valley","White Musk, Oakmoss, Sandalwood",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/1/15/81262b12-0345-473d-84d0-6b1d3d60db16.png.webp?ect=4g,Unisex
294,HRMN-0294,Golden Pear,Mine. Perfumery,192750,30,EDP,"Californian Lemon, Mandarin, Pear","Orange Blossom, Aldehydic, Fruity","Cotton Candy, White Musk, Sea Salt",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/1/15/033743e4-3e6c-4071-8ca1-4394f1c86d76.png.webp?ect=4g,Unisex
295,HRMN-0295,Koko Kink,Mine. Perfumery,192750,30,EDP,"White Coconut, Vanilla Absolut, Sea Salt,","Orchid, Sun Rays, Tonka,","Benzoin, Musk, Sandalwood",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/1/15/8a961b32-f6a6-476e-9994-7267d2b6a98b.png.webp?ect=4g,Unisex
296,HRMN-0296,Berry Bash,Mine. Perfumery,192750,30,EDP,"Raspberry, Blackberry, Strawberry","Watermelon, Ozone, Apple","Amber, Musk, Praline",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/10/1/6dd1f402-2977-443b-844a-a7084bead194.png.webp?ect=4g,Unisex
297,HRMN-0297,Fig-Urative ,Mine. Perfumery,192750,30,EDP,"Bergamot, Pink Pepper, Cardamom","Orris Root, Violet, Fig","Vanilla, Sandalwood, Musk",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/a363cce7-582b-47bc-8f09-a73b7113a416.png.webp?ect=4g,Unisex
298,HRMN-0298,UNTAMED,Mine. Perfumery,305600,50,EDP,"Citrus, Pink Pepper, Orange Blossom","Toasted Almond, Sandalwood, Juniper","Oud, Vanilla, Indonesian Patchouli",Night,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/11/7/1b2cf242-c43c-40a9-9d1a-9c095057e73d.jpg.webp?ect=4g,Unisex
299,HRMN-0299,ETHEREAL EXTREME,Mine. Perfumery,305600,50,EDP,"Toasted Almond, Bergamot, Pink Pepper","Babys Breath, Ambergris, Bezoin","Maple, Tonka Bean, Salted Caramel",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/1/18/0936fd69-fb00-4fc9-8eec-a881f57e9d51.jpg.webp?ect=4g,Unisex
300,HRMN-0300,2022,Mine. Perfumery,338400,50,EDP,"Bergamot, Rhubarb",Lily,Vanilla,Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/116925c0-0724-45f9-8df8-31b94c1b1508.png.webp?ect=4g,Unisex
301,HRMN-0301,Sakura Sake,Mine. Perfumery,338400,50,EDP,"Strawberry, Momo Peach, Sake","Blackcurrant, Cherry Blossom, Rosewood Oil","Creamy Sandalwood, Ethyl Maltol, Ambrette",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/2/544533aa-281c-4ddf-97b2-71fc4af36f0f.png.webp?ect=4g,Unisex
302,HRMN-0302,TATAMI,Mine. Perfumery,274950,50,EDP,"Plum, Earl Grey, Orange Blossom","Peony Rose, Blackcurrant, Bud Lily Of The Valley","Ambrettolide, Violet Leaf, Tea Leaf",Day,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/11/7/e151c664-455d-4edb-bc4f-1862e884e13b.jpg.webp?ect=4g,Unisex
303,HRMN-0303,UNBOUND,Mine. Perfumery,418000,50,EDP,"Nutmeg, Cardamom, Tobacco","Taekwood, Gula Aren, Mahogany","Javanese Vanilla, Sandalwood, Cacao",Versatile,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/8/16/57b4a9d2-36b8-4271-9bd0-af43d5d76554.jpg.webp?ect=4g,Unisex
304,HRMN-0304,LUCID DREAMS,Mine. Perfumery,320800,50,EDP,"Air, White Peach, Gardenia","Solar, Maltol, Vanillin","White Musk, Ambergris, Ambroxan",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/17/edd05ff4-9c1e-4960-8097-83ee27259a39.png.webp?ect=4g,Unisex
305,HRMN-0305,FLORAISON ,Mine. Perfumery,320800,50,EDP,"Pink Pepper, Peony, Lychee, Wild Berry,","Hedione, Rose Otto Oil,","White Musk, Patchouli, Bois De Rose",Day,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/11/7/7b95c04a-d46e-4f6e-8ab9-4514b310d155.jpg.webp?ect=4g,Unisex
306,HRMN-0306,LA BOHÈME,Mine. Perfumery,260650,50,EDP,"Forest Mist, Cannabis, Raspberry Ketone","Oakmoss, Violet, Vanillin","Patchouli, Wild Vetiver, Ethyl Maltol",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/793c1aeb-7b4d-46f1-b1a1-6584c52a47b6.png.webp?ect=4g,Unisex
307,HRMN-0307,ALMALIKA,Mine. Perfumery,300750,50,EDP,"Desert Lavender, Fir Needle, Black Pepper, Myrrh","Lilac, Desert Rose","White Oud, Guaiacwood, Vanillin",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/0e00094a-5fd9-47fe-827f-61a01af1e31f.png.webp?ect=4g,Unisex
308,HRMN-0308,ETHEREAL,Mine. Perfumery,300750,50,EDP,"Vanillin, Almond, Hedione","Bergamot, Baby'S Breath, Pink Pepper","Sandalwood, Cashmeran And Orange",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/d8ce9042-f70a-40f3-a826-d65d1a4027ab.jpg.webp?ect=4g,Unisex
309,HRMN-0309,NARCOTIQUE,Mine. Perfumery,320800,50,EDP,"Blood Orange, Bergamot, Sicilian Lemon","Sea Salt, Cardamom, Petitgrain","Vetiver, Cedarwood, Ambrette",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/2ceb8c80-4b31-4647-a70b-ca2b8ef86f50.png.webp?ect=4g,Unisex
310,HRMN-0310,Ruby Royale,Mine. Perfumery,320800,50,XDP,"Cassis, Peony, Rose, Lavandin, Violet","Ruby, Strawberry, White Peach","Ambroxan, Patchouli, Pine, Amber",Night,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/8/26/51fde4b9-ccbf-46fe-8dd4-209ed83e19c4.png.webp?ect=4g,Unisex
311,HRMN-0311,Oud Absolute,Mine. Perfumery,345400,50,XDP,"Blackcurrant, Wild Berry, Geranium","Benzoin, Jasmine, Musk, Resinous Vetiver","Amber, Oud, Ambroxan, Patchouli, Sandalwood, Maltol",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/d2ad53e8-01dc-4492-a760-302c3e1e7a75.png.webp?ect=4g,Unisex
312,HRMN-0312,With Love,Mine. Perfumery,423000,50,EDP,"Baby’S Breath, Coconut, Mimosa","Amber, Sandalwood, Vanillin",Clean Musk,Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/2/9/6d1f9797-dbbf-427c-b249-c200bb0b0dbf.jpg.webp?ect=4g,Unisex
313,HRMN-0313,2021,Mine. Perfumery,423000,50,EDP,"Urban Greenery, Lemon Zest, Pink Pepper","Rose (Delta Damascone,) Futuristic Florals, Ozonic Woods","Dry Woods, Benzoin, Tonka Bean, Dripping Honey",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/77bd636c-b314-4dfe-93bc-0d1deb911252.png.webp?ect=4g,Unisex
314,HRMN-0314,Beige 96,Mine. Perfumery,320800,50,EDP,"Juniper Berry, Skin Accord, Musk Mallow","Suede, Rose","Sandalwood, Vetiver, Orange, Clary Sage",Versatile,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/13/cbb3d73c-05a2-4beb-8582-c179f19404ba.jpg.webp?ect=4g,Unisex
315,HRMN-0315,Miracle in Scent,Fordive,299000,50,XDP,"Pink Pepper, Violet Leaf, English Rose","Orchid, Nutmeg, Raspberry","Leather, Ink, Tonka Bean, Musk",Versatile,https://images.tokopedia.net/img/cache/900/hDjmkQ/2025/3/17/4eaef039-6750-4ed0-b2b7-0e2f8a79e52f.jpg,Unisex
316,HRMN-0316,Royal,Fordive,279000,100,EDP,"Pineapple, Mint","Incense, Cumin, Jasmine","Caramel, Amber, Tobacco",Night,https://images.tokopedia.net/img/cache/900/hDjmkQ/2025/3/27/325285a0-9446-4583-9ff2-171da9f57088.jpg,Male
317,HRMN-0317,Utopia,Fordive,249000,100,EDP,"Rhubarb, Grapefruit","Cherry, Vanilla, Cinnamon","Cashmere Wood, Virginia Cedarwood, Amber",Versatile,https://images.tokopedia.net/img/cache/900/hDjmkQ/2025/4/15/7e6429c2-6d6b-4de7-b591-0ec9a909150a.jpg,Female
318,HRMN-0318,Fordive 1970,Fordive,279000,100,EDP,"Pink Pepper, Juniper, Violet, Grapefruit","Cinnamon, Sage, Vanilla","Amber, Tonka Bean, Toffee, Oak",Night,https://images.tokopedia.net/img/cache/900/hDjmkQ/2025/4/15/9141ee53-f662-4eea-a7e0-d73539683554.jpg,Male
319,HRMN-0319,Atlantis,Fordive,249000,100,EDP,"Grapefruit, Black Currant, Sea Salt","Lily Of The Valley, Pine, Jasmine","Amber, Praline",Day,https://images.tokopedia.net/img/cache/900/hDjmkQ/2025/4/15/bbe91639-c287-4a16-9473-e730332ba129.jpg,Unisex
320,HRMN-0320,Feeling Good,Fordive,249000,100,EDP,"Rasberry, Peony","Candy, Ambery","Praline, Musky, Floral",Night,https://images.tokopedia.net/img/cache/900/hDjmkQ/2025/3/27/94a85d52-4cb3-4ea6-ba12-586949fe9257.jpg,Female
321,HRMN-0321,Echoes Of Aqua,Nostalgy,299000,50,EDP,"Apple, Bergamot, Orange, Ginger","Orange Blossom, George, Pineapple","Ambroxan, Akigalawood, Cedar, Musk",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/3/3/ca666016-3f4e-4a3b-acb3-61b4b4d063d2.jpg,Unisex
322,HRMN-0322,Nocturnal Oud,Nostalgy,290000,50,XDP,"Saffron, Cardamom, Coriander, Pink Pepper, Raspberry","Leather, Jasmine Sambac, Orris, Vanilla, Orange Flower","Musk, Vanilla, Amber, Cedarwood, Coconut",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/2/24/fc7ee499-6b63-470d-8f8e-c2b89dab0ab9.jpg,Unisex
323,HRMN-0323,Rose in the Attic,Nostalgy,280000,50,XDP,"Bulgarian Rose, Saffron, Bergamot","Agarwood, Sandalwood, Vetiver","Amber, Musk, Cedar",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/2/24/a895fc6c-82e8-4716-963d-56344af10e40.jpg,Unisex
324,HRMN-0324,Tranquil Corner,Nostalgy,280000,50,XDP,"Green Tea Leaves , Petitgrain, Mandarin Orange","Jasmine, Muguet, Orange Blossom, Iris","White Chocolate, Musk, Moss , Cedar, Vetiver",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/2/24/5b06554e-79e2-494b-af16-86474eacd964.jpg,Unisex
325,HRMN-0325,Ginger Pandan Bread,Nostalgy,289999,50,EDP,"Ginger, Pandan Leaf","Rice, Coconut Milk","Brown Sugar, Vanilla",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/22/ffcefe14-fd88-4b11-bf06-c8b52a720404.jpg,Unisex
326,HRMN-0326,Fleur Du Glace,Nostalgy,290000,50,XDP,"Moringa, Acassia, Bergamote, Honeysuckle","Iris, Jasmine, Tuberose, Gardenia","Vanilla, Coconut Milk, Sandalwood, Musk",Day,https://images.tokopedia.net/img/cache/900/hDjmkQ/2024/11/10/1e830cc7-180a-4afe-980e-ffe07fa89f21.jpg,Unisex
327,HRMN-0327,Winter in Rovaniemi,Nostalgy,290000,50,XDP,"Bergamot, Ylang Ylang, Almond","Rose, Iris, Opoponax, Cardamom","Vanilla, Amber, Patchouli, Musk, Tonka Bean",Night,https://images.tokopedia.net/img/cache/900/hDjmkQ/2024/11/10/88ff5ecd-6ced-493c-85d6-c97e8b969a59.jpg,Unisex
328,HRMN-0328,Teh Sereh,Nostalgy,289999,50,XDP,"Black Tea, Chammomile, Orange","Lemongrass, Jasmine","Cedar, Bergamot, Musk",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/9/25/90fce0a7-19ad-48e7-ba5c-8643246748cb.jpg,Unisex
329,HRMN-0329,Summer in Holland,Nostalgy,279999,50,XDP,"Lemon, Calabrian Bergamot, Orange Peel, Rhuburb, Mint","Pink Tulip, Jasmine, Carnation ,Neroli, Ambroxan, Citron","Green Notes, Chinese Black Tea, Amber, Freesia, Vetiver",Day,https://images.tokopedia.net/img/cache/900/hDjmkQ/2024/7/29/919d81ec-844e-43ac-8252-27b6aac0b05c.jpg,Unisex
330,HRMN-0330,Profane Pleasure,Nostalgy,280000,50,XDP,"Chocolate Truffle, Dark Chocolate, Tobacco Leaf , Spices","Cacao Pod, Vanilla, Tonka Bean, Tobacco Blossoms","Cloves , Dried Fruits, Woody Notes, Musk",Night,https://images.tokopedia.net/img/cache/900/hDjmkQ/2024/7/31/30dad4c9-bdd3-4fd7-b6e9-733abc1c14ba.jpg,Unisex
331,HRMN-0331,Burlesque Night,Nostalgy,368000,50,EDP,"Neroli, Black Pepper, Cardamom","Iris, Violet, Geranium, Mate","Amber, Sandalwood, Cedar, Patchouli",Night,https://images.tokopedia.net/img/cache/900/hDjmkQ/2024/8/20/70a32194-2fc7-430b-ad6a-2fe3b561a4c6.jpg,Unisex
